"id","price"
12117,11700
13263,6495
4806,10495
11014,10456
8465,11699
3276,13130
3453,8230
15657,9275
17074,8790
11851,9900
14800,10999
4914,10500
10611,9675
9864,9995
9782,11000
8676,7790
683,6998
10790,14995
936,10000
8336,9615
10960,14999
9862,10295
7543,17998
10696,10495
130,10498
466,9700
963,5698
12020,10068
7469,11995
13775,14995
17697,10845
8200,9995
17060,20000
14332,7999
4322,15690
2765,6777
12103,22299
12018,12490
16742,8799
4764,8421
11273,8000
1642,13140
13106,11200
15283,7989
3958,12950
12896,21450
6097,15999
7557,8470
13169,13500
6287,19075
9662,15000
8433,9000
1616,10540
15487,9600
4875,18990
7246,14000
4523,9999
2417,14998
16076,9680
15794,9500
16857,8295
4119,8998
12692,13750
13508,7299
1496,10291
10854,19499
2199,11695
12142,8995
11696,9938
8485,10620
15087,13700
11021,20499
11939,16300
11289,12499
5195,9490
2947,14490
16934,13000
9900,15590
5570,14495
893,9300
2548,15900
6624,11299
16827,6295
9093,15795
17953,9899
2884,5980
4702,17950
7752,14820
5713,7375
16293,10095
4272,10250
5092,8330
6887,10780
10803,8494
200,8195
13210,19995
13089,8800
11675,8499
8561,7997
9514,9500
6738,9995
14860,8000
13534,5500
12733,18299
15766,16989
1590,8980
11200,17999
3779,18800
827,6298
13743,17990
9970,16995
11894,10099
14004,4990
11522,3999
1890,9700
16952,5995
2782,5397
14156,9661
14204,8099
3619,8880
16726,6250
1094,8830
9712,9850
13407,14600
5270,10295
16487,11699
3371,10291
15632,12000
902,17870
2776,16190
2669,16000
8670,9500
16702,7199
3339,9990
8498,11795
11251,12499
1435,9240
12422,7990
2439,9998
15939,5750
4785,6698
15182,12200
10420,16200
11149,12500
13752,22995
2234,21490
17912,11499
16821,5499
16020,13999
13685,12290
13757,11968
5300,8791
10440,16990
269,13998
17362,7995
3596,13140
13056,20990
12244,7695
2998,12465
5874,7798
9181,11750
11715,8594
3120,7490
6924,20000
16239,2491
11610,7190
10149,8995
10756,30699
17152,15250
6229,19110
13974,10300
9210,6495
16884,8299
6201,10499
4614,11950
12345,12000
1173,13500
2920,15660
7063,15895
4608,16297
1294,10698
1486,11588
8323,7999
11982,12300
16853,6695
6169,10999
11468,21999
6874,9200
3419,21490
12539,14450
9923,14795
13145,14900
6783,11499
830,10698
9997,15695
15863,6995
8450,11899
3823,14997
13555,7250
2003,14995
1069,9650
660,13498
9460,21500
17921,16999
10351,11560
16812,675
12632,10700
3320,9491
6663,14491
17446,13990
5850,9070
7305,6298
2597,8280
16542,14999
16923,9000
10249,8495
14104,10990
7395,8895
12831,8400
14924,15400
17500,13950
7678,18500
4527,10750
10091,8495
2283,6950
5673,16700
10937,9800
9795,15789
13476,4500
4733,17310
9637,16000
14783,14299
5994,10790
44,13140
12707,17750
8505,14260
4965,8995
4427,12450
3615,9390
4038,26000
11415,8820
6074,14500
8338,8407
10141,14299
12701,21700
17227,9999
3108,6995
14014,15990
12568,18500
3680,9500
1841,15000
14195,16199
11834,16399
16123,9990
9006,20400
