127.0.0.1 - - [09/Mar/2023:09:25:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /WebMarket/welcome.jsp HTTP/1.1" 200 8905
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:26:01 +0900] "GET /WebMarket/BoardListAction.do;jsessionid=F93C0D1808F305A1AAC437B2F5CF5C2A?pageNum=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:27 +0900] "GET /WebMarket/css/styles.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:27 +0900] "GET /WebMarket/resources/css/product.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:29 +0900] "GET /WebMarket/member/loginMember.jsp;jsessionid=F93C0D1808F305A1AAC437B2F5CF5C2A HTTP/1.1" 200 7488
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:29 +0900] "GET /WebMarket/member/css/styles.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:29 +0900] "GET /WebMarket/member/resources/css/product.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:29 +0900] "GET /WebMarket/member/css/styles.css HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:29 +0900] "GET /WebMarket/resources/css/bootstrap.min.css.map HTTP/1.1" 404 2516
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:33 +0900] "POST /WebMarket/loginMember.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:33 +0900] "GET /WebMarket/member/resultMember.jsp?msg=2 HTTP/1.1" 200 2847
